Room Label,Room Size,Var 1 - Windows/Lighting,Var 2 - Closet,Var 3 - Relative Location
1a,214,1,1,2
2a,151,2,0,0
2b,172.4,2,0,0
2c,104.6,2,1,0
3a,172.4,2.5,1.5,2
3b,114.9,2,1.5,2
